crop,crop_verdict,category,canonical_name,node_a,node_b,node_c,crop_notes,disease,disease_verdict,disease_reason,disease_check
Deadwood And Snags,INVALID,other,Deadwood And Snags,NO,N/A,N/A,"Refers to dead standing or fallen woody material in forests, not a plant or cultivated crop.",,,,skipped: Crop verdict is INVALID
Doghobble,VALID,ornamental,Doghobble,YES,YES,YES,"Leucothoe spp., an evergreen shrub used in landscape ornamental horticulture.","Calonectria Cylindrospora Crous, Alfenas & M.J. Wingf.",QUESTIONABLE,"This is a pathogen species name with taxonomic authors rather than a disease name, and Calonectria cylindrospora is not a well-established pathogen specifically reported on Leucothoe (doghobble).",judged
Dogwood,VALID,ornamental,Dogwood,YES,YES,YES,,Powdery Mildew,CORRECT,Powdery mildew (caused primarily by Erysiphe pulchra) is a well-documented foliar disease of flowering dogwood (Cornus florida).,judged
Dogwood,VALID,ornamental,Dogwood,YES,YES,YES,,Dogwood Anthracnose,CORRECT,"Dogwood anthracnose, caused by Discula destructiva, is a major and well-documented disease of Cornus florida and C. nuttallii.",judged
Double Impatiens,VALID,ornamental,Double Impatiens,YES,YES,YES,"Refers to double-flowered cultivars of Impatiens, grown as bedding ornamentals.",Downy Mildew,CORRECT,Downy mildew caused by Plasmopara obducens is a well-documented and devastating disease of Impatiens walleriana including double-flowered cultivars.,judged
Douglas-Fir,VALID,tree_crop,Douglas-fir,YES,YES,YES,Grown as a timber and Christmas tree crop; Pseudotsuga menziesii.,Swiss Needle Cast,CORRECT,Well-documented foliar disease of Douglas-fir caused by the fungus Nothophaeocryptopus gaeumannii.,judged
Douglas-Fir,VALID,tree_crop,Douglas-fir,YES,YES,YES,Grown as a timber and Christmas tree crop; Pseudotsuga menziesii.,Rhabdocline Needlecasts,CORRECT,"Rhabdocline spp. (e.g., R. pseudotsugae, R. weirii) cause classic needle cast diseases specific to Douglas-fir.",judged
Eastern Hemlock,VALID,tree_crop,Eastern Hemlock,YES,YES,YES,Tsuga canadensis; cultivated as ornamental and managed for timber.,Hemlock Tip Blight,CORRECT,"Hemlock tip blight, caused by Sirococcus tsugae, is a well-documented fungal disease affecting Eastern Hemlock (Tsuga canadensis), causing dieback of new shoots and needles.",judged
Eastern Redcedar,VALID,tree_crop,Eastern Redcedar,YES,YES,YES,"Juniperus virginiana; cultivated for timber, windbreaks, and ornamental use.",Cedar-Apple Rust,CORRECT,Gymnosporangium juniperi-virginianae forms galls on Eastern Redcedar (Juniperus virginiana) as its telial host in a well-documented heteroecious rust life cycle with apple.,judged
Eastern White Pine,VALID,tree_crop,Eastern White Pine,YES,YES,YES,,Caliciopsis Canker,CORRECT,"Caliciopsis pinea is a well-documented canker disease of Eastern white pine, especially in the northeastern US.",judged
Eastern White Pine,VALID,tree_crop,Eastern White Pine,YES,YES,YES,,Needle Cast,QUESTIONABLE,"Needle cast is a real disease category (e.g., white pine needle damage complex involving Lecanosticta, Lophophacidium, Bifusella) but the label is vague and not pathogen-specific.",judged
Eastern White Pine,VALID,tree_crop,Eastern White Pine,YES,YES,YES,,White Pine Blister Rust,CORRECT,"Cronartium ribicola causes blister rust, the most economically significant disease of Eastern white pine.",judged
Eastern White Pine,VALID,tree_crop,Eastern White Pine,YES,YES,YES,,Stem Rot,QUESTIONABLE,"Stem rot is not a standard disease name for Eastern white pine; root and butt rots (Heterobasidion, Armillaria) are documented but 'stem rot' is vague and atypical for conifers.",judged
Eastern White Pine,VALID,tree_crop,Eastern White Pine,YES,YES,YES,,Septoria Leaf Spot And Cankers,INCORRECT,"Septoria is a foliar pathogen of broadleaf plants (tomato, hemp, etc.); pines have needles, not leaves, and Septoria is not a recognized pathogen of Eastern white pine.",judged
Eastern White Pine,VALID,tree_crop,Eastern White Pine,YES,YES,YES,,Leaf Blotch,INCORRECT,"Leaf blotch is a disease of broadleaf hosts; Eastern white pine has needles, and 'leaf blotch' is not a recognized disease of this conifer.",judged
Eggplant,VALID,vegetable,Eggplant,YES,YES,YES,,Diaporthe Vexans Gratz,QUESTIONABLE,"Names the pathogen (Phomopsis vexans, syn. Diaporthe vexans) with taxonomic authority rather than the disease name 'Phomopsis blight/fruit rot'.",judged
Eggplant,VALID,vegetable,Eggplant,YES,YES,YES,,Phytophthora Blight,CORRECT,"Phytophthora blight (caused by Phytophthora spp., e.g., P. capsici, P. nicotianae) is a well-documented disease of eggplant affecting foliage, stems, and fruit.",judged
Elm,VALID,tree_crop,Elm,YES,YES,YES,Cultivated as an ornamental and timber tree (genus Ulmus).,Dutch Elm Disease,CORRECT,"Classic vascular wilt of elms caused by Ophiostoma ulmi/novo-ulmi, vectored by elm bark beetles.",judged
Elm,VALID,tree_crop,Elm,YES,YES,YES,Cultivated as an ornamental and timber tree (genus Ulmus).,Black Spot Of Elm,QUESTIONABLE,"Black spot/anthracnose-type leaf spots (e.g., Stegophora ulmea) do occur on elm, but 'Black Spot of Elm' is not a standard disease name and is more commonly associated with rose.",judged
Elm,VALID,tree_crop,Elm,YES,YES,YES,Cultivated as an ornamental and timber tree (genus Ulmus).,Bacterial Leaf Scorch,CORRECT,"Xylella fastidiosa causes bacterial leaf scorch in elm, producing marginal necrosis and dieback.",judged
Epimedium,VALID,ornamental,Epimedium,YES,YES,YES,Also cultivated as a medicinal herb (horny goat weed) in traditional Chinese medicine.,Tobacco Rattle Virus,CORRECT,"Tobacco Rattle Virus (TRV) is a well-documented nepovirus-like tobravirus that infects Epimedium, causing characteristic ringspot and mosaic symptoms on foliage.",judged
European Birch,VALID,tree_crop,European Birch,YES,YES,YES,,Septoria Leaf Spot,CORRECT,Septoria betulae and related Septoria species are documented foliar pathogens causing leaf spot on Betula pendula (European birch).,judged
European Crabapple,VALID,fruit,European Crabapple,YES,YES,YES,,Bitter Rot And Anthracnose,QUESTIONABLE,"Both are real Colletotrichum-caused diseases of Malus, but bundling two distinct disease names into one label is imprecise and should be split into separate entries.",judged
European Red Raspberry,VALID,fruit,European Red Raspberry,YES,YES,YES,,Rust,QUESTIONABLE,"Real disease category but vague; raspberry rusts include yellow rust (Phragmidium rubi-idaei) and late rust (Pucciniastrum americanum), and the specific pathogen is not identified.",judged
European Red Raspberry,VALID,fruit,European Red Raspberry,YES,YES,YES,,Gnomonia Cane Canker,CORRECT,"Cane canker caused by Gnomonia species (e.g., Gnomonia rubi) is a documented disease of Rubus idaeus affecting canes.",judged
Field Pea,VALID,legume,Field Pea,YES,YES,YES,,Ascochyta Blight Of Pea,CORRECT,"Ascochyta blight, caused by the Ascochyta/Mycosphaerella complex (Ascochyta pisi, Mycosphaerella pinodes, Phoma medicaginis var. pinodella), is a well-documented and economically important foliar/stem disease of field pea (Pisum sativum).",judged
Fig/Banyan,MISSPELLED_OR_UNSTANDARDISED,fruit,Fig (Ficus carica),YES,YES,NO,"Ambiguous grouping; edible fig (Ficus carica) is cultivated as a fruit crop, while banyan (Ficus benghalensis) is typically a non-crop shade/ornamental tree.",Fig Rust,CORRECT,"Fig rust, caused by Cerotelium fici, is a well-documented foliar disease of fig (Ficus carica) causing yellow-brown leaf spots and premature defoliation.",judged
Flue-Cured Tobacco,VALID,other,Flue-Cured Tobacco,YES,YES,YES,Flue-cured (Virginia) tobacco is a curing-method-defined market class of Nicotiana tabacum grown as a commercial non-food crop.,Phytophthora Blight,QUESTIONABLE,"Tobacco is affected by Phytophthora nicotianae causing black shank (root/stem rot), not typically called 'Phytophthora Blight'; the label is vague and likely refers to black shank.",judged
Forsythia,VALID,ornamental,Forsythia,YES,YES,YES,,Phomopsis Cankers And Twig Blights,CORRECT,"Phomopsis spp. are well-documented causes of cankers and twig blights on Forsythia, producing dieback and stem lesions.",judged
Garden Onion,VALID,vegetable,Onion,YES,YES,YES,,Black Mold,CORRECT,"Aspergillus niger causes black mold, a well-documented postharvest disease of onion bulbs.",judged
Garden Onion,VALID,vegetable,Onion,YES,YES,YES,,Downy Mildew,CORRECT,"Peronospora destructor is a classic, economically important foliar disease of Allium cepa.",judged
Garden Onion,VALID,vegetable,Onion,YES,YES,YES,,Onion Yellows Phytoplasma,QUESTIONABLE,"Phytoplasma yellows diseases do occur in onion, but the label names the pathogen rather than the disease (e.g., 'onion yellows') and is uncommonly reported as a major onion disease.",judged
Garden Onion,VALID,vegetable,Onion,YES,YES,YES,,Fusarium Damping-Off,QUESTIONABLE,"Fusarium basal rot is the canonical Fusarium disease of onion; damping-off in onion seedlings is more typically attributed to Pythium, making this association unusual.",judged
Garden Onion,VALID,vegetable,Onion,YES,YES,YES,,Iris Yellow Spot Virus,CORRECT,"IYSV (Tospovirus, thrips-vectored) is a globally significant disease of onion bulb and seed crops.",judged
Garden Onion,VALID,vegetable,Onion,YES,YES,YES,,Purple Blotch,CORRECT,"Alternaria porri causes purple blotch, a major foliar disease of onion.",judged
Geranium,VALID,ornamental,Geranium,YES,YES,YES,,Rust,CORRECT,Geranium rust caused by Puccinia pelargonii-zonalis is a well-documented fungal disease of Pelargonium (geranium).,judged
Glossy Buckthorn,NON_CROP,other,Glossy Buckthorn (Frangula alnus),YES,NO,N/A,"Invasive shrub, not cultivated as a crop.",,,,skipped: Crop verdict is NON_CROP
Gourd,VALID,vegetable,Gourd,YES,YES,YES,,Phytophthora Blight,CORRECT,"Phytophthora capsici causes well-documented blight on cucurbits including gourds, affecting fruit, crowns, and foliage.",judged
Gourd,VALID,vegetable,Gourd,YES,YES,YES,,Fusarium Damping-Off,CORRECT,Fusarium species are recognized causal agents of damping-off in cucurbit seedlings including gourds.,judged
Gourd,VALID,vegetable,Gourd,YES,YES,YES,,Powdery Mildew,CORRECT,Powdery mildew caused by Podosphaera xanthii and Erysiphe cichoracearum is a major foliar disease of gourds and other cucurbits.,judged
Grape,VALID,fruit,Grape,YES,YES,YES,,Powdery Mildew,CORRECT,"Caused by Erysiphe necator, a major worldwide grape disease.",judged
Grape,VALID,fruit,Grape,YES,YES,YES,,Black Rot,CORRECT,"Caused by Guignardia bidwellii, a well-known destructive grape disease.",judged
Grape,VALID,fruit,Grape,YES,YES,YES,,Gray Mold,CORRECT,Botrytis cinerea bunch rot is a major grape disease affecting berries and clusters.,judged
Grape,VALID,fruit,Grape,YES,YES,YES,,Grape Anthracnose,CORRECT,"Caused by Elsinoe ampelina, a documented disease of grapevines.",judged
Grape,VALID,fruit,Grape,YES,YES,YES,,Downy Mildew,CORRECT,"Caused by Plasmopara viticola, one of the most important grape diseases globally.",judged
Grape,VALID,fruit,Grape,YES,YES,YES,,Pseudocercospora Leaf Spot,CORRECT,"Caused by Pseudocercospora vitis (formerly Mycosphaerella angulata), a recognized grape leaf disease.",judged
Hawthorn,VALID,ornamental,Hawthorn,YES,YES,YES,"Crataegus spp.; grown ornamentally and as hedging, with some species cultivated for edible/medicinal fruit.",Quince Rust,CORRECT,"Quince rust (Gymnosporangium clavipes) is a well-documented disease of hawthorn (Crataegus spp.), which serves as a common telial host causing fruit and twig deformation.",judged
Hemp/Marijuana (Sativa),VALID,fiber_crop,Cannabis sativa,YES,YES,YES,"Cannabis sativa is cultivated for fiber (hemp), oilseed, and medicinal/recreational use (marijuana).",Beet Curly Top Virus,CORRECT,"Beet curly top virus (BCTV), transmitted by the beet leafhopper, is a documented and economically significant virus infecting Cannabis sativa, causing leaf curling, stunting, and yield loss.",judged
Hickory,VALID,nut_crop,Hickory,YES,YES,YES,,Ascochyta Fungi,QUESTIONABLE,"Names a fungal genus rather than a specific disease, and Ascochyta is not a well-documented pathogen of hickory (Carya spp.).",judged
Highbush Blackberry,VALID,fruit,Highbush Blackberry,YES,YES,YES,,Downy Mildew,QUESTIONABLE,"Downy mildew (Peronospora sparsa) is documented on Rubus species but is far more commonly reported on raspberry and boysenberry than on highbush blackberry, making this an unusual/uncertain association without pathogen specification.",judged
Highbush Blueberry,VALID,fruit,Highbush Blueberry,YES,YES,YES,,Anthracnose,CORRECT,Anthracnose fruit rot caused by Colletotrichum spp. is a well-documented disease of highbush blueberry.,judged
Highbush Blueberry,VALID,fruit,Highbush Blueberry,YES,YES,YES,,Twig Canker,QUESTIONABLE,"Generic symptom-based label; multiple pathogens cause twig cankers on blueberry, so the specific disease is ambiguous.",judged
Highbush Blueberry,VALID,fruit,Highbush Blueberry,YES,YES,YES,,Blueberry Leaf Rust,CORRECT,Leaf rust caused by Thekopsora minima (formerly Pucciniastrum vaccinii) is a known disease of highbush blueberry.,judged
Highbush Blueberry,VALID,fruit,Highbush Blueberry,YES,YES,YES,,Phomopsis Cankers And Twig Blights,CORRECT,Phomopsis canker and twig blight caused by Diaporthe vaccinii is a well-documented disease of highbush blueberry.,judged
Highbush Blueberry,VALID,fruit,Highbush Blueberry,YES,YES,YES,,Diaporthe Vaccinii Shear,QUESTIONABLE,"This names the pathogen (Diaporthe vaccinii Shear) rather than the disease itself, and duplicates the Phomopsis canker entry.",judged
Highbush Blueberry,VALID,fruit,Highbush Blueberry,YES,YES,YES,,Mummy Berry,CORRECT,Mummy berry caused by Monilinia vaccinii-corymbosi is a major and well-documented disease of highbush blueberry.,judged
Hollyhock,VALID,ornamental,Hollyhock,YES,YES,YES,,Hollyhock Rust,CORRECT,Hollyhock rust caused by Puccinia malvacearum is the most common and well-documented disease of hollyhock (Alcea rosea).,judged
Hops,VALID,other,Hops,YES,YES,YES,Humulus lupulus; cultivated primarily for brewing beer.,"Fusarium Wilts, Blights, Rots And Damping-Off",QUESTIONABLE,"Fusarium can cause canker/cone tip blight on hops, but this catch-all grouping is vague and not a specific hop disease name.",judged
Hops,VALID,other,Hops,YES,YES,YES,Humulus lupulus; cultivated primarily for brewing beer.,Carnation Latent Virus,INCORRECT,Carnation latent virus is a carnation-infecting carlavirus and is not a recognized pathogen of hops.,judged
Hops,VALID,other,Hops,YES,YES,YES,Humulus lupulus; cultivated primarily for brewing beer.,Apple Mosaic Virus,CORRECT,Apple mosaic virus (ApMV) is a well-documented ilarvirus of hops causing hop mosaic-like symptoms and yield/alpha-acid losses.,judged
Hops,VALID,other,Hops,YES,YES,YES,Humulus lupulus; cultivated primarily for brewing beer.,Powdery Mildew,CORRECT,"Hop powdery mildew caused by Podosphaera macularis is a major, well-documented disease of hops worldwide.",judged
Hops,VALID,other,Hops,YES,YES,YES,Humulus lupulus; cultivated primarily for brewing beer.,Cucurbit Downy Mildew,INCORRECT,"Cucurbit downy mildew (Pseudoperonospora cubensis) infects cucurbits; hops have their own downy mildew caused by P. humuli, so this label is the wrong host.",judged
Hosta,VALID,ornamental,Hosta,YES,YES,YES,,Southern Blight,CORRECT,"Sclerotium rolfsii (Athelia rolfsii) is a well-documented soilborne pathogen causing crown and petiole rot in hostas, especially in warm, humid conditions.",judged
Hosta,VALID,ornamental,Hosta,YES,YES,YES,,Hosta Virus X,CORRECT,"Hosta Virus X (HVX), a potexvirus, is the signature and most economically important viral disease of Hosta, causing mottling, ink-bleed patterns, and tissue collapse.",judged
Hosta,VALID,ornamental,Hosta,YES,YES,YES,,Tobacco Rattle Virus,CORRECT,"Tobacco rattle virus (TRV), vectored by Trichodorus/Paratrichodorus nematodes, is a documented infector of Hosta producing ringspots, line patterns, and chlorotic mottling.",judged
Hydrangea,VALID,ornamental,Hydrangea,YES,YES,YES,,Cercospora Fungi,QUESTIONABLE,"Cercospora leaf spot (Cercospora hydrangeae) is a real and common hydrangea disease, but the label names the pathogen genus rather than the disease itself.",judged
Hydrangea,VALID,ornamental,Hydrangea,YES,YES,YES,,Gray Molds,QUESTIONABLE,"Gray mold (Botrytis cinerea) does affect hydrangea blossoms and shoots, but the pluralized, informal phrasing is vague and non-standard.",judged
Iris,VALID,ornamental,Iris,YES,YES,YES,,Heterosporium Leaf Spot On Iris,CORRECT,"Heterosporium leaf spot (caused by Heterosporium iridis, now Mycosphaerella macrospora / Cladosporium iridis) is a well-documented foliar disease of Iris.",judged
Italian Cypress,VALID,ornamental,Italian Cypress,YES,YES,YES,,Phyllosticta Leaf Spots,QUESTIONABLE,"Phyllosticta species are typically associated with broadleaf hosts; on Italian Cypress (a conifer with scale-like leaves), needle/twig blights (e.g., Seiridium, Pestalotiopsis, Cercospora) are far more commonly reported than Phyllosticta leaf spots.",judged
Jack Pine,VALID,tree_crop,Jack Pine,YES,YES,YES,,Tar Spot Needlecast,CORRECT,"Tar spot needlecast, caused by Lophodermium species (notably L. pinastri), is a documented foliar disease of Jack Pine (Pinus banksiana) producing black ascocarps on needles and premature needle cast.",judged
Japanese Flowering Cherry,VALID,ornamental,Japanese Flowering Cherry,YES,YES,YES,,Hypocrea,QUESTIONABLE,"Hypocrea is a fungal genus (teleomorph of Trichoderma), not a specific disease name, and is generally not a primary pathogen of Japanese flowering cherry.",judged
Japanese Maple,VALID,ornamental,Japanese Maple,YES,YES,YES,,Anthracnose,CORRECT,"Anthracnose (caused by Discula, Colletotrichum, or Aureobasidium spp.) is a well-documented foliar disease of Acer palmatum causing leaf blotches and shoot dieback.",judged
Japanese Maple,VALID,ornamental,Japanese Maple,YES,YES,YES,,Phomopsis Cankers And Twig Blights,CORRECT,"Phomopsis spp. are recognized causal agents of cankers and twig blight on stressed Japanese maples, particularly following winter or drought injury.",judged
Japanese Maple,VALID,ornamental,Japanese Maple,YES,YES,YES,,Powdery Mildew,CORRECT,"Powdery mildew (commonly Sawadaea spp. and other Erysiphales) is a documented foliar disease of Japanese maple, producing the characteristic white surface mycelium on leaves.",judged
Jostaberry,VALID,fruit,Jostaberry,YES,YES,YES,,White Pine Blister Rust,CORRECT,"Cronartium ribicola requires a Ribes host (including Jostaberry, a Ribes hybrid) to complete its life cycle and causes leaf rust symptoms on it.",judged
Juniper,VALID,ornamental,Juniper,YES,YES,YES,,Diaporthe Juniperivora Sacc.,QUESTIONABLE,"Names a pathogen species (the teleomorph of Phomopsis juniperovora) rather than a disease, and duplicates the Phomopsis entry.",judged
Juniper,VALID,ornamental,Juniper,YES,YES,YES,,Kabatina Blight,CORRECT,Well-documented juniper twig blight caused by Kabatina juniperi affecting previous-year shoots.,judged
Juniper,VALID,ornamental,Juniper,YES,YES,YES,,Needle Cast,QUESTIONABLE,"Vague generic term; needle cast diseases are characteristic of true-needled conifers (pine, spruce, fir) rather than scale-leaved junipers.",judged
Juniper,VALID,ornamental,Juniper,YES,YES,YES,,Pestalotiopsis Leaf Spot,QUESTIONABLE,"Pestalotiopsis is typically a weak/opportunistic pathogen on juniper causing tip blight rather than a classical leaf spot, and the association is minor.",judged
Juniper,VALID,ornamental,Juniper,YES,YES,YES,,Phomopsis Cankers And Twig Blights,CORRECT,"Phomopsis juniperovora is the classic and economically important tip blight/canker disease of juniper, especially on young growth.",judged
Kale,VALID,vegetable,Kale,YES,YES,YES,,Leptosphaerulina Leaf Blights,QUESTIONABLE,"Leptosphaerulina leaf blight is well-documented on forage legumes (alfalfa, clover) and turfgrasses, but is not a commonly recognized or well-documented disease of kale (Brassica oleracea).",judged
Kentucky Bluegrass,VALID,forage,Kentucky Bluegrass,YES,YES,YES,Poa pratensis; widely cultivated as turfgrass and pasture forage.,Spring Dead Spot,QUESTIONABLE,"Spring Dead Spot is a well-documented disease of warm-season turfgrasses (especially bermudagrass), not a typical disease of cool-season Kentucky Bluegrass.",judged
Kentucky Bluegrass,VALID,forage,Kentucky Bluegrass,YES,YES,YES,Poa pratensis; widely cultivated as turfgrass and pasture forage.,Ascochyta Fungi,QUESTIONABLE,Names a pathogen genus rather than the disease; the proper disease name on Kentucky Bluegrass is Ascochyta leaf blight.,judged
Kentucky Bluegrass,VALID,forage,Kentucky Bluegrass,YES,YES,YES,Poa pratensis; widely cultivated as turfgrass and pasture forage.,Wheat Stem Rust,INCORRECT,"Wheat stem rust (Puccinia graminis f. sp. tritici) is a disease of wheat and related cereals, not Kentucky Bluegrass.",judged
Lawngrass,MISSPELLED_OR_UNSTANDARDISED,ornamental,Lawn grass,YES,YES,NO,Generic term for turfgrass species used in lawns; should be written as two words.,Rust,CORRECT,"Rust diseases caused by Puccinia spp. (e.g., P. graminis, P. coronata, P. striiformis) are well-documented fungal diseases affecting turfgrasses/lawn grasses.",judged
Lemon,VALID,fruit,Lemon,YES,YES,YES,,Green Mold,CORRECT,Green mold caused by Penicillium digitatum is a major postharvest disease of lemons and other citrus fruits.,judged
Lemon,VALID,fruit,Lemon,YES,YES,YES,,Whisker Mold,QUESTIONABLE,"Not a standard disease name in citrus pathology; likely a colloquial reference to the whisker-like sporulation of Penicillium spp. on lemons, overlapping with green/blue mold.",judged
Lentil,VALID,legume,Lentil,YES,YES,YES,,Ascochyta Blight,CORRECT,"Ascochyta blight, caused by Ascochyta lentis, is a well-documented and economically important foliar disease of lentil worldwide.",judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,Downy Mildew,CORRECT,"Caused by Bremia lactucae, a major and well-documented foliar disease of lettuce worldwide.",judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,Powdery Mildew,CORRECT,"Erysiphe cichoracearum causes powdery mildew on lettuce, particularly in greenhouse and field crops.",judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,Sclerotinia Stem Rot,CORRECT,"Sclerotinia sclerotiorum causes lettuce drop / stem rot, a classic and economically important disease of lettuce.",judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,Sclerotinia Timber Rot,QUESTIONABLE,"'Timber rot' is the common name for Sclerotinia on tomato; on lettuce the same pathogen is normally called 'lettuce drop,' so this name is unusual and overlaps with Sclerotinia Stem Rot.",judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,Gray Mold,CORRECT,"Botrytis cinerea commonly infects lettuce, causing gray mold especially on senescing tissue and in cool, humid conditions.",judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,Cercospora Leaf Spot,QUESTIONABLE,"Cercospora longissima can affect lettuce in warm, humid regions, but it is an uncommon and minor disease and the label names a pathogen genus rather than a specific disease.",judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,Lettuce Chlorosis Virus,CORRECT,LCV (Crinivirus) is a recognized whitefly-transmitted virus of lettuce causing interveinal yellowing.,judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,Mirafiori Lettuce Big-Vein Virus,CORRECT,"MiLBVV (Ophiovirus), vectored by Olpidium brassicae, is the causal agent of lettuce big-vein disease.",judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,"Rhizoctonia Damping-Off, Blight And Rot",CORRECT,"Rhizoctonia solani causes damping-off, bottom rot, and web blight on lettuce, all well documented.",judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,Tomato Spotted Wilt Virus,CORRECT,"TSWV (thrips-transmitted Tospovirus) has a broad host range including lettuce, causing necrotic spots and stunting.",judged
Lettuce,VALID,vegetable,Lettuce,YES,YES,YES,,Southern Blight,CORRECT,"Sclerotium rolfsii (Athelia rolfsii) causes southern blight on lettuce in warm regions, producing crown rot and white mycelial mats.",judged
Leyland Cypress,VALID,ornamental,Leyland Cypress,YES,YES,YES,,Seiridium Cankers,CORRECT,Seiridium canker (caused by Seiridium unicorne and related species) is the most well-documented and damaging canker disease of Leyland cypress.,judged
Lilac,VALID,ornamental,Lilac,YES,YES,YES,,Anthracnose,QUESTIONABLE,"Anthracnose is not a commonly documented disease of lilac (Syringa spp.); lilacs are far more typically affected by bacterial blight (Pseudomonas syringae) and powdery mildew, making this an unusual association.",judged
Limber Pine,NON_CROP,other,Limber Pine,YES,NO,N/A,"Pinus flexilis is a wild high-elevation conifer, not cultivated as an agricultural or horticultural crop.",,,,skipped: Crop verdict is NON_CROP
Live Oak,VALID,tree_crop,Live Oak,YES,YES,YES,Quercus virginiana; cultivated as an ornamental/landscape shade tree and also valued historically for timber.,Oak Wilt,CORRECT,"Oak wilt, caused by Bretziella fagacearum, is a well-documented and highly destructive vascular disease affecting live oaks, particularly in Texas.",judged
Loblolly Pine,VALID,tree_crop,Loblolly Pine,YES,YES,YES,,Leptographium Root Disease,CORRECT,"Leptographium spp. (e.g., L. terebrantis, L. procerum) are well-documented root-infecting fungi causing decline in loblolly pine, often associated with root-feeding bark beetles.",judged
Loblolly Pine,VALID,tree_crop,Loblolly Pine,YES,YES,YES,,Pine Needle Rusts,QUESTIONABLE,"Needle rusts (e.g., Coleosporium spp.) do occur on loblolly pine, but the label names a broad disease category rather than a specific disease and lumps multiple pathogens together.",judged
Loblolly Pine,VALID,tree_crop,Loblolly Pine,YES,YES,YES,,Wood Decay Fungi,QUESTIONABLE,"This labels a functional group of organisms (heart-rot/sap-rot basidiomycetes) rather than a specific disease, so it is too vague to serve as a disease class even though such fungi do colonize loblolly pine.",judged
Lowbush Blueberry,VALID,fruit,Lowbush Blueberry,YES,YES,YES,,Leaf And Flower Gall,CORRECT,Leaf and flower gall caused by Exobasidium vaccinii is a well-documented disease of lowbush blueberry.,judged
Mallow,VALID,herb_spice,Mallow,YES,YES,YES,,Hollyhock Rust,CORRECT,"Hollyhock rust is caused by Puccinia malvacearum, which infects multiple Malvaceae hosts including common mallow (Malva spp.).",judged
Maple,VALID,tree_crop,Maple,YES,YES,YES,Cultivated for syrup production and timber.,Anthracnose,CORRECT,"Anthracnose caused by fungi such as Discula, Kabatiella, and Aureobasidium is a well-documented foliar disease of maples.",judged
Maple,VALID,tree_crop,Maple,YES,YES,YES,Cultivated for syrup production and timber.,Tar Spot Of Maple,CORRECT,Tar spot caused by Rhytisma acerinum and related species is a classic and widely recognized disease of maple leaves.,judged
Maple,VALID,tree_crop,Maple,YES,YES,YES,Cultivated for syrup production and timber.,Maple Cankers,QUESTIONABLE,"Cankers of maple are real (e.g., Nectria, Eutypella, Steganosporium) but the label names a symptom/group rather than a specific disease.",judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Bacterial Wilt,CORRECT,"Erwinia tracheiphila causes bacterial wilt in melon/cucurbits, vectored by cucumber beetles.",judged
Melon,VALID,fruit,Melon,YES,YES,YES,,"Fusarium Wilts, Blights, Rots And Damping-Off",QUESTIONABLE,Combines multiple distinct Fusarium-caused syndromes into one vague umbrella label rather than naming a specific disease.,judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Monosporascus Root Rot,CORRECT,Monosporascus cannonballus causes a well-known root rot and vine decline of melon in hot climates.,judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Powdery Mildew,CORRECT,Podosphaera xanthii and Golovinomyces cichoracearum are major foliar pathogens of melon.,judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Cucurbit Downy Mildew,CORRECT,Pseudoperonospora cubensis is a destructive foliar oomycete pathogen of melon.,judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Alternaria Leaf Blight,CORRECT,Alternaria cucumerina causes a documented leaf blight of melon and other cucurbits.,judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Anthracnose,CORRECT,Colletotrichum orbiculare causes anthracnose lesions on melon foliage and fruit.,judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Phytophthora Blight,CORRECT,"Phytophthora capsici causes crown, fruit and foliar blight in melon.",judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Gummy Stem Blight,CORRECT,Stagonosporopsis cucurbitacearum (Didymella bryoniae) is a major stem and foliar pathogen of melon.,judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Bacterial Fruit Blotch,CORRECT,"Acidovorax citrulli causes fruit blotch on melon and other cucurbits, seed-borne.",judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Sour Rot,QUESTIONABLE,Sour rot (Geotrichum candidum) is more typically reported on tomato/citrus; postharvest melon association exists but is uncommon and the label is ambiguous.,judged
Melon,VALID,fruit,Melon,YES,YES,YES,,Charcoal Rot,CORRECT,Macrophomina phaseolina causes charcoal rot/crown rot in melon under heat and drought stress.,judged
